"Title","Type","Availability","MSRP Currency","MSRP","Show Price Currency","Show Price","Publisher","Location","Priority","Notes","Thumbs","BGGId","BGGVersionId","Mfg Product Code","Release Date","Override Release Date","Events"
"Into the Machine","Standalone","For Sale","N/A","N/A","N/A","N/A","Alderac Entertainment Group","","N/A","N/A",48,"446670","759323","","2026-09-00","",""
"Misfit Heroes","Standalone","For Sale","N/A","N/A","N/A","N/A","Alderac Entertainment Group","","N/A","N/A",39,"421570","714867","","2026-03-00","",""
"Assemble!","Standalone","For Sale","N/A","N/A","N/A","N/A","Alderac Entertainment Group","","N/A","N/A",23,"468063","796926","AEG1143","2026-08-07","",""
"Word Wipe","Standalone","For Sale","N/A","N/A","N/A","N/A","Alderac Entertainment Group","","N/A","N/A",18,"468067","796930","AEG 1142","2026-08-07","",""
"JumbleJack","Standalone","For Sale","N/A","N/A","N/A","N/A","Alderac Entertainment Group","","N/A","N/A",19,"468065","796928","AEG1144","2026-08-07","",""
"Electrify","Standalone","Demo","N/A","N/A","N/A","N/A","Alderac Entertainment Group","","N/A","N/A",61,"462761","787650","1012","2027-00-00","",""
"Dogfight: 1917","Standalone","For Sale","USD",44.99,"USD",44.99,"Arcane Wonders","","N/A","N/A",9,"445533","801803","","0000-00-00","",""
"Leylines","Standalone","For Sale","USD",59.99,"USD",59.99,"Arcane Wonders","","N/A","N/A",9,"367842","625746","","2024-00-00","Q4 2025",""
"Garden Dragons","Standalone","Demo","N/A","N/A","N/A","N/A","B.A. Games","","N/A","N/A",12,"446584","759197","","0000-00-00","Q2 2026",""
"Dungeon Diners","Standalone","Demo","N/A","N/A","N/A","N/A","B.A. Games","","N/A","N/A",12,"446585","759198","","0000-00-00","Q3 2026",""
"Drakaina","Standalone","For Sale","USD",30,"N/A","N/A","Lowtek Games LLC","","N/A","N/A",11,"464135","790099","","2026-00-00","",""
"Miniature Adventures: Adventure 1 – Goblin Troubles","Standalone","For Sale","USD",25,"N/A","N/A","Lowtek Games LLC","","N/A","N/A",7,"395313","672218","","2025-11-00","",""
"Voidfall: Resurgence","Expansion","Demo","N/A","N/A","N/A","N/A","Mindclash Games","261","N/A","N/A",39,"455819","797522","","0000-00-00","",""
"Revenant","Standalone","For Sale","USD",65,"N/A","N/A","Mindclash Games","261","N/A","N/A",42,"428099","726879","","2026-03-00","",""
"Sniper Elite: The Board Game","Standalone","Demo","USD",65,"USD",65,"Rebellion Unplugged","","N/A","N/A",14,"295262","483059","","2022-06-00","",""
"Sniper Elite: The Board Game","Standalone","For Sale","USD",65,"USD",65,"Rebellion Unplugged","","N/A","N/A",14,"295262","483059","","2022-06-00","",""
"Sniper Elite: Operation Kraken","Expansion","For Sale","USD",50,"USD",50,"Rebellion Unplugged","","N/A","N/A",13,"444239","755346","","2026-02-00","",""
"Sniper Elite: Eagle's Nest","Expansion","For Sale","USD",50,"USD",50,"Rebellion Unplugged","","N/A","N/A",13,"363022","615082","","2022-06-00","",""
"The Hunt","Standalone","For Sale","USD",50,"N/A","N/A","Don't Panic Games","Ares Games booth #229","N/A","N/A",10,"440627","800325","DPG1142","0000-00-00","May 2026",""
"The Old King's Crown","Standalone","For Sale","USD",90,"N/A","N/A","Eerie Idol Games","Booth #1555, Room #126","N/A","N/A",59,"357873","601791","","2025-09-00","",""
"ZeroDay.exe","Standalone","Demo","N/A","N/A","N/A","N/A","PudKat Games","","N/A","N/A",8,"417745","707734","","2026-07-00","",""
"Soar","Standalone","For Sale","USD",29.99,"N/A","N/A","IV Studio","","N/A","N/A",25,"464147","790124","","0000-00-00","",""
"Kittens in Space","Standalone","For Sale","USD",20,"USD",20,"Dead Alive Games","","N/A","N/A",8,"446480","759014","","2025-12-00","",""
"Cat Rescue (Second Edition)","Standalone","For Sale","USD",20,"USD",20,"Dead Alive Games","","N/A","N/A",7,"446478","759011","","2025-10-01","",""
"No No Puppy!","Standalone","Demo","USD",20,"USD",20,"Dead Alive Games","","N/A","N/A",3,"468069","796934","DAG0701","0000-00-00","Q4 2026",""
"Lunar Rush: Innovations","Expansion","For Sale","USD",70,"USD",65,"Dead Alive Games","","N/A","N/A",5,"457536","778969","","2026-10-31","",""
"Forest Shuffle: Smoky Mountains","Standalone","Demo","N/A","N/A","N/A","N/A","Lookout Games","1109","N/A","N/A",52,"463296","788506","LOG0195","2026-10-00","",""
"Dragon Overload","Standalone","Demo","N/A","N/A","N/A","N/A","Lookout Games","1109","N/A","N/A",4,"467495","795889","","2026-08-00","",""
"Brave & Bold: Bag Building Combat Game","Standalone","For Sale","USD",32.5,"USD",27,"Resurrection Games","Booth#3054","N/A","N/A",17,"464449","790645","","2026-09-04","",""
"Scooby-Doo Mystery Masquerade","Standalone","For Sale","USD",37.95,"USD",33,"Resurrection Games","Booth#3054","N/A","N/A",9,"468275","797310","RGC-WB05001FP25","2026-06-15","",""
"Game of Thrones: Masters of Intrigue","Standalone","For Sale","USD",24.95,"USD",21,"Resurrection Games","Booth#3054","N/A","N/A",4,"468290","797334","RGC-WB04002FP25","2026-06-15","",""
"Looney Tunes: Hunting Wabbits","Standalone","For Sale","USD",24.95,"USD",21,"Resurrection Games","Booth#3054","N/A","N/A",9,"468289","797333","RGC-WB04001FP25","2026-06-15","",""
"Seeker of Spells","Standalone","For Sale","USD",25,"USD",25,"MindWare","2002","N/A","N/A",9,"465254","791879","","2026-02-00","",""
"Trail to the Temple","Standalone","For Sale","USD",30,"USD",30,"MindWare","2002","N/A","N/A",19,"464332","790408","","2026-07-30","",""
"The Red Dragon Inn 10","Standalone","For Sale","USD",49.95,"N/A","N/A","SlugFest Games","Booth #1329","N/A","N/A",13,"455834","775937","","0000-00-00","Q3 2026",""
